id,subject_id,title,description,order_number,estimated_hours,status,completed_at,created_at
6003e1cf-b9b5-4722-bbe3-b7bfcbebdd7a,8442ba4b-0885-44c6-9af6-1243124e6ca7,Punjabi (Compulsory) - Introduction to the Subject,Comprehensive coverage of Introduction to the Subject as per PSEB guidelines for Punjabi (Compulsory).,1,2,pending,,2026-02-24T10:56:49.470Z
3d3777f1-1071-4a2a-9243-53053b6290de,8442ba4b-0885-44c6-9af6-1243124e6ca7,Punjabi (Compulsory) - Fundamental Concepts,Comprehensive coverage of Fundamental Concepts as per PSEB guidelines for Punjabi (Compulsory).,2,2,completed,2026-02-15T21:32:58.314Z,2026-02-24T10:56:49.470Z
64692ea8-0640-4daa-b1e6-9e5486259573,8442ba4b-0885-44c6-9af6-1243124e6ca7,Punjabi (Compulsory) - Core Principles and Theories,Comprehensive coverage of Core Principles and Theories as per PSEB guidelines for Punjabi (Compulsory).,3,2,completed,2026-02-20T05:35:24.492Z,2026-02-24T10:56:49.470Z
3924bc1c-4105-4cf0-915c-b49750f51942,8442ba4b-0885-44c6-9af6-1243124e6ca7,Punjabi (Compulsory) - Practical Applications,Comprehensive coverage of Practical Applications as per PSEB guidelines for Punjabi (Compulsory).,4,2,completed,2026-02-15T08:32:22.666Z,2026-02-24T10:56:49.470Z
8abada04-6dda-4dad-af38-eb1cceb283d6,8442ba4b-0885-44c6-9af6-1243124e6ca7,Punjabi (Compulsory) - Advanced Analysis,Comprehensive coverage of Advanced Analysis as per PSEB guidelines for Punjabi (Compulsory).,5,2,pending,,2026-02-24T10:56:49.470Z
c6cd73c5-ef79-4332-a4e4-0f13ec7ad90f,8442ba4b-0885-44c6-9af6-1243124e6ca7,Punjabi (Compulsory) - Case Studies and Examples,Comprehensive coverage of Case Studies and Examples as per PSEB guidelines for Punjabi (Compulsory).,6,2,pending,,2026-02-24T10:56:49.470Z
7b031721-33fe-4c36-a933-75d633b784cf,8442ba4b-0885-44c6-9af6-1243124e6ca7,Punjabi (Compulsory) - Revision and Summary,Comprehensive coverage of Revision and Summary as per PSEB guidelines for Punjabi (Compulsory).,7,2,pending,,2026-02-24T10:56:49.470Z
915c2d04-feeb-41e2-83b1-ed3bcd1a96c3,52c9543c-1df3-4bfc-be28-3521a0d3b154,General English - Introduction to the Subject,Comprehensive coverage of Introduction to the Subject as per PSEB guidelines for General English.,1,2,pending,,2026-02-24T10:56:49.470Z
df50ffea-dd4b-4a24-a14a-92b107ee1e0d,52c9543c-1df3-4bfc-be28-3521a0d3b154,General English - Fundamental Concepts,Comprehensive coverage of Fundamental Concepts as per PSEB guidelines for General English.,2,2,pending,,2026-02-24T10:56:49.470Z
768afc31-60d8-4173-bfc4-51175af56aa7,52c9543c-1df3-4bfc-be28-3521a0d3b154,General English - Core Principles and Theories,Comprehensive coverage of Core Principles and Theories as per PSEB guidelines for General English.,3,2,pending,,2026-02-24T10:56:49.470Z
4fea66df-0ab8-4cf5-83ff-c86244881d0a,52c9543c-1df3-4bfc-be28-3521a0d3b154,General English - Practical Applications,Comprehensive coverage of Practical Applications as per PSEB guidelines for General English.,4,2,pending,,2026-02-24T10:56:49.470Z
9d6664f2-d6d0-45df-b9c8-91e90ff8af24,52c9543c-1df3-4bfc-be28-3521a0d3b154,General English - Advanced Analysis,Comprehensive coverage of Advanced Analysis as per PSEB guidelines for General English.,5,2,pending,,2026-02-24T10:56:49.470Z
d5d098c0-57f8-4769-ac24-f722332a412a,52c9543c-1df3-4bfc-be28-3521a0d3b154,General English - Case Studies and Examples,Comprehensive coverage of Case Studies and Examples as per PSEB guidelines for General English.,6,2,completed,2026-02-11T18:41:10.669Z,2026-02-24T10:56:49.470Z
02a6fb43-93a7-4e44-8a21-1dd3d8581f0d,a04c1293-bc7d-4921-8b76-b4f910ce2e3a,Mathematics - Introduction to the Subject,Comprehensive coverage of Introduction to the Subject as per PSEB guidelines for Mathematics.,1,2,completed,2026-02-25T03:26:31.932Z,2026-02-24T10:56:49.470Z
7d32cb3a-eaab-4ff9-a883-4e71c77a58d6,a04c1293-bc7d-4921-8b76-b4f910ce2e3a,Mathematics - Fundamental Concepts,Comprehensive coverage of Fundamental Concepts as per PSEB guidelines for Mathematics.,2,2,completed,2026-02-19T10:28:55.975Z,2026-02-24T10:56:49.470Z
96990ab6-da0c-4942-8e35-d1073a06f8e0,a04c1293-bc7d-4921-8b76-b4f910ce2e3a,Mathematics - Core Principles and Theories,Comprehensive coverage of Core Principles and Theories as per PSEB guidelines for Mathematics.,3,2,completed,2026-02-07T08:08:24.788Z,2026-02-24T10:56:49.470Z
15ac6089-52d2-4f64-ae97-c2ae140b7339,a04c1293-bc7d-4921-8b76-b4f910ce2e3a,Mathematics - Practical Applications,Comprehensive coverage of Practical Applications as per PSEB guidelines for Mathematics.,4,2,pending,,2026-02-24T10:56:49.470Z
d709c3c6-7aa1-4e7c-9600-d35d716f9854,a04c1293-bc7d-4921-8b76-b4f910ce2e3a,Mathematics - Advanced Analysis,Comprehensive coverage of Advanced Analysis as per PSEB guidelines for Mathematics.,5,2,completed,2026-02-14T21:32:03.916Z,2026-02-24T10:56:49.470Z
cc24298f-212a-4ae6-bba6-1fdb23e621f2,a04c1293-bc7d-4921-8b76-b4f910ce2e3a,Mathematics - Case Studies and Examples,Comprehensive coverage of Case Studies and Examples as per PSEB guidelines for Mathematics.,6,2,pending,,2026-02-24T10:56:49.470Z
96a433e7-926d-4f64-8e83-2667c334d634,a04c1293-bc7d-4921-8b76-b4f910ce2e3a,Mathematics - Revision and Summary,Comprehensive coverage of Revision and Summary as per PSEB guidelines for Mathematics.,7,2,pending,,2026-02-24T10:56:49.470Z
3a316c23-dcda-4f91-9ee1-8c8017b69d70,a04c1293-bc7d-4921-8b76-b4f910ce2e3a,Mathematics - Final Assessment Prep,Comprehensive coverage of Final Assessment Prep as per PSEB guidelines for Mathematics.,8,2,pending,,2026-02-24T10:56:49.470Z
0e589f26-4b58-47c6-b85d-dc63500a0085,fe5779f3-da1c-4a12-ae9d-76076f84e88d,Physics - Introduction to the Subject,Comprehensive coverage of Introduction to the Subject as per PSEB guidelines for Physics.,1,2,completed,2026-02-24T17:50:46.959Z,2026-02-24T10:56:49.470Z
f0b50ecd-5ebd-4814-9abd-7c74f8ae34fe,fe5779f3-da1c-4a12-ae9d-76076f84e88d,Physics - Fundamental Concepts,Comprehensive coverage of Fundamental Concepts as per PSEB guidelines for Physics.,2,2,pending,,2026-02-24T10:56:49.470Z
